M,loss_db_per_arm,end_to_end_loss_db_midpoint,optimized_spacing_d,povm_scale_s,one_minus_s,s_less_than_one
16,0.03,0.06,1.92602458077,0.99999999999887,1.1299849944634843e-12,0
16,0.04,0.08,1.88702190182,0.9999999999988403,1.1597389715234385e-12,0
16,0.05,0.1,1.85804505897,0.9999999999998497,1.503241975342462e-13,0
16,0.06,0.12,1.83520467623,0.9999999999994029,5.970779426434092e-13,0
16,0.07,0.14,1.81631160044,0.9999999999995972,4.027889133340068e-13,0
16,0.08,0.16,1.80039257047,0.9999999999998728,1.2723155862204294e-13,0
16,0.09,0.18,1.78655030329,0.9999999999982834,1.716626840675417e-12,0
16,0.1,0.2,1.77438512293,0.9999999999992357,7.642775301519578e-13,0
16,0.11,0.22,1.76358192709,0.9999999999993563,6.437073096776658e-13,0
16,0.12,0.24,1.75392624495,0.999999999998584,1.4159784456069247e-12,0
16,0.13,0.26,1.74517637692,0.9999999999992266,7.73381358953884e-13,0
16,0.14,0.28,1.73726775594,0.9999999999996436,3.5638159090467525e-13,0
16,0.15,0.3,1.73007459714,0.9999999999994111,5.88862292261183e-13,0
16,0.16,0.32,1.72352064639,0.999999999999289,7.109868249699502e-13,0
16,0.17,0.34,1.71753474917,0.9999999999993505,6.494804694057166e-13,0
16,0.18,0.36,1.71206036679,0.9999999999995313,4.687361609967411e-13,0
16,0.19,0.38,1.70705655256,0.9999999999994096,5.904166044956582e-13,0
16,0.2,0.4,1.70254649392,0.9999999999997258,2.7422508708241367e-13,0
16,0.3,0.6,1.67675241091,0.9999999999996669,3.3306690738754696e-13,0
16,0.4,0.8,1.67927807064,0.9999999999997662,2.3381296898605797e-13,0
16,0.5,1.0,1.70716527779,0.9999999999994917,5.082601006733967e-13,0
16,0.6,1.2,1.75957127918,0.9999999999995146,4.853895063661184e-13,0
16,0.7,1.4,1.82699446627,0.999999999999793,2.0694557179012918e-13,0
16,0.75,1.5,1.86196789207,0.9999999999996403,3.597122599785507e-13,0
16,0.76,1.52,1.86894455564,0.9999999999997922,2.078337502098293e-13,0
16,0.77,1.54,1.87591132294,0.99999999999971,2.899902540320909e-13,0
16,0.78,1.56,1.88286541783,0.9999999999996685,3.3151259515307174e-13,0
16,0.79,1.58,1.88979889449,0.9999999999997018,2.9820590441431705e-13,0
16,0.8,1.6,1.8967134441,0.9999999999997045,2.9554136915521667e-13,0
16,0.81,1.62,1.9036056258,0.9999999999992808,7.192024753521764e-13,0
16,0.82,1.64,1.91051148192,0.9999999999997644,2.355893258254582e-13,0
16,0.83,1.66,1.91737458017,0.9999999999995606,4.3942627314663696e-13,0
16,0.84,1.68,1.92421584231,0.9999999999998224,1.7763568394002505e-13,0
16,0.85,1.7,1.93101207777,0.9999999999992069,7.931433287922118e-13,0
16,0.86,1.72,1.93783623443,0.9999999999990576,9.423573033018329e-13,0
16,0.87,1.74,1.94469569327,0.9999999999995615,4.3853809472693683e-13,0
16,0.88,1.76,1.95144775544,0.9999999999998697,1.3034018309099338e-13,0
16,0.89,1.78,1.95824023524,0.9999999999996954,3.0464519795714295e-13,0
16,0.9,1.8,1.96502469274,0.9999999999996412,3.588240815588506e-13,0
16,0.91,1.82,1.97183485609,0.99999999999976,2.4003021792395884e-13,0
16,0.92,1.84,1.97857549449,0.9999999999997713,2.2870594307278225e-13,0
16,0.93,1.86,1.98549192636,0.999999999999587,4.1300296516055823e-13,0
16,0.94,1.88,0.419768035672,0.9999971211667716,2.8788332283591345e-06,1
16,0.95,1.9,0.416978567601,0.9999946687482708,5.331251729190356e-06,1
16,0.96,1.92,0.414165119417,0.9999967528893394,3.2471106605758138e-06,1
16,0.97,1.94,0.411206555077,0.9999941265127102,5.873487289753676e-06,1
16,0.98,1.96,0.408432600747,0.9999951776588224,4.822341177601608e-06,1
16,0.99,1.98,0.406106565715,0.9999893741759559,1.0625824044097065e-05,1
16,1.0,2.0,0.403780471387,0.9999937997953956,6.200204604400739e-06,1
16,1.01,2.02,0.401066430232,0.9999966998352624,3.3001647375963117e-06,1
16,1.02,2.04,0.398994853452,0.9999925930052037,7.40699479628848e-06,1
16,1.03,2.06,0.39669038123,0.9999971725783209,2.827421679119091e-06,1
16,1.04,2.08,0.393979804321,0.9999927773069347,7.222693065300767e-06,1
16,1.05,2.1,0.392058061296,0.9999951466143725,4.853385627501261e-06,1
16,1.1,2.2,0.382034970877,0.9999978818420567,2.1181579432649755e-06,1
16,1.2,2.4,0.363669082909,0.9999896242347757,1.0375765224335254e-05,1
16,1.3,2.6,0.348166017863,0.9999976100896719,2.389910328082223e-06,1
16,1.4,2.8,0.334877987689,0.9999968480773783,3.151922621680292e-06,1
16,1.5,3.0,0.323793341324,0.9999954174794466,4.5825205533533975e-06,1
16,1.6,3.2,0.312391000185,0.9999957758882495,4.224111750494863e-06,1
16,1.7,3.4,0.303906066681,0.9999976025738158,2.39742618424188e-06,1
16,1.8,3.6,0.296225497596,0.9999969994349238,3.0005650761832925e-06,1
